Nome da Música;Artistas;ID da Música
INTRO - SPEECH CRUZZI;";";"Quevedo; Cruz Cafuné";";";3TPTC8joOVNXHHNFIWPGBC
PLAYA DEL INGLÉS;";";"Quevedo; Myke Towers";";";0Sfn2TYbpQtCGMBf6C0Y6T
SIN SEÑAL;";";"Quevedo; Ovy On The Drums";";";3pjvkWO9fqiRRBE1tDLu3S
DAME;";";"Quevedo; Omar Montes";";";5yocaqYG38qpSSxV1t0o3D
MUÑECA;";";"Quevedo; JC Reyes";";";4SMeOd5Fb7Rp92ODZTWCHV
CA' MANOLO;";";"Abhir Hathi; Quevedo";";";1NKDXp8TkFf2dUPaxvC5LF
GANGSTER (PQFNEDG);";";"Ovy On The Drums; Quevedo; Yandel";";";3Yw6KJjm8ycybvl6UdW9dq
OA;";";"Anuel AA; Quevedo; Maluma; Mambo Kingz; DJ Luian";";";6gMj2DzKR2PjrrbNSwcGFR
NO PIENSO LLAMAR;";";"Soge Culebra; Quevedo; GARABATTO";";";3xE3TyeIxL24IstPdy5IBv
Buenas;";";"Quevedo; Saiko";";";4sDpxaulErbJ9NBaJDC7cJ
don't liE;";";"Duki; Quevedo";";";2uUjvln3XatonAYue691k0
POLARIS - Remix;";";"Saiko; Quevedo; Feid; Mora";";";0EhuGnOS6fTc5l5UNtDEH2
My Love;";";"De La Ghetto; Quevedo";";";2f5jtBFBWGmthgLpte2u3q
QUEVEDO #49 AFTER HOUR THE MIXTAPE;";";"DJ Saot ST; Quevedo; BlueFire";";";4vJKFyVeEGydftAuefJe6Y
Sangre y Fe;";";"Cruz Cafuné; Quevedo";";";2Ny8exAU0UkzXzAMGBGvpV
Mami Chula;";";"Jhayco; Quevedo";";";4aJzxp3gimtAdgJn3DL776
EL TONTO;";";"Lola Indigo; Quevedo";";";0OqoRBKlvRZarXZqE7AH7z
Mi Nena Remix;";";"Maikel Delacalle; Quevedo";";";7q1KFoWUNYudhKW8RYJFsZ
PERO TÚ;";";"KAROL G; Quevedo";";";4QpoPO2Z9xqESwEsfTjaLj
PLAYA DEL INGLÉS;";";"Quevedo; Myke Towers";";";2t6IxTASaSFkZEt61tQ6W6
Real G;";";"Bad Gyal; Quevedo";";";6WU2eYUtOL91iROonROPyh
LACONE;";";"Polimá Westcoast; Quevedo; Mora";";";4Rjq1TZbF0bDstOs6SiI6J
SIN SEÑAL;";";"Quevedo; Ovy On The Drums";";";1Y62KpDaP5MEL43ZcI6IaG
Quevedo: Bzrp Music Sessions, Vol. 52;";";"Bizarrap; Quevedo";";";2tTmW7RDtMQtBk7m2rYeSw
FERNET;";";"Rei; Quevedo";";";2GVahxIzxivfRZc8lR39Ms
2step (feat. Quevedo);";";"Ed Sheeran; Quevedo";";";2lBC947shOYlBn1UtMoJlg
2step (feat. Lil Baby);";";"Ed Sheeran; Lil Baby";";";06aqGQedRowWl0LzbvDFKh
Yatekomo;";";"Juseph; Quevedo";";";7ILwxghUppFKHnAJ5ziB8X
Chamaquita;";";"Quevedo; Juseph";";";667CH2wRxXnQOfPD1NrlLJ
Si Quieren Frontear;";";"Duki; De La Ghetto; Quevedo";";";6bQ5823aHmFVKLZW8E7rRo
Jordan I;";";"Saiko; Quevedo; La mano de oro";";";2Ykd9H7gmnTTfWAuFdlLRW
Respuesta Cero;";";"Quevedo; BlueFire";";";07piZvs54drv7466oPLTt0
Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix];";";"La Pantera; Quevedo; Juseph; Abhir Hathi; Bejo; Cruz Cafuné; EL IMA";";";0Bv7O6fmZk3GrNQFYJaXPn
Estás con él - Acústico;";";"Wos LasPalmas; Quevedo";";";0o2P8Vla2FKmmdX25rHvMr
Estás Con Él;";";"Quevedo; Wos LasPalmas";";";5YOObwV9DaFoK8Z85LZbY0
Ahora y Siempre;";";"Quevedo; Linton";";";4iaNmAvcZ6sPGvgZ6vQQdx
NANA;";";"Quevedo; GARZI";";";2mgz8ME636F6lYDYDxIz9q
Me Fui en un Viaje;";";"Mdmoney; Doc Psych; Quevedo";";";0ZCLgrZWfSS2FVSCJNcsdY
LB Music Session#5;";";"Quevedo; Linton; LosBrezosBars";";";1i2UjQ8YI4mNN7OCMjzhfF
La nena;";";"Juseph; Quevedo";";";4WKXvSFylyPR8uKPcqLxKu
Piel de Cordero;";";"Quevedo; La Pantera";";";04d4GpLedinwpfctvgOIhY
Cayó La Noche;";";"La Pantera; Quevedo; Juseph";";";2jeDtqfRAGJb9McjwfXN9I
Ya No Sé;";";"Quevedo; Wos LasPalmas";";";3R3RqzsBuyvaNBFaLCDS4l
No me olvido;";";"Quevedo; Juseph";";";4Y2qCrHtrbl3dEPGFWCHvK
Cógelo Suave;";";"Quevedo; La Pantera; o2 Tbb";";";3zBFhQssH2rOXxHsThJv3O
GRIS;";";"Quevedo; ROSO";";";6dtt4yvSQs7gH5P3qQaK3N
