Nome da Música;Artistas;ID da Música
Stressed (feat. Summer Walker);";";"Lil Tjay; Summer Walker";";";2mNaugzeRDyAq991bw4nqv
2 Grown (feat. The Kid LAROI);";";"Lil Tjay; The Kid LAROI";";";5ybZcAwqUF7i9gwABLeXzs
Bla Bla (feat. Fivio Foreign);";";"Lil Tjay; Fivio Foreign";";";1xHcIJHIHwr2PUyTmFTWTy
Hole In My Heart (feat. Jadakiss);";";"Lil Tjay; Jadakiss";";";2K2kVZtAl1dpNncoYRrTlt
Project Walls (feat. YoungBoy Never Broke Again);";";"Lil Tjay; YoungBoy Never Broke Again";";";0wdlLb695gFP3CSiUAqxls
Beat the Odds Pt 2 (feat. Polo G);";";"Lil Tjay; Polo G";";";1vHzUmqpA2tgO1OGtBuItX
Grateful (feat. Coco Jones);";";"Lil Tjay; Coco Jones";";";6AqZbaM3bQNYvX9OTjzakL
Calling My Phone;";";"Lil Tjay; 6LACK";";";3J8EOeKLTLXORtWPpOU5bE
Headshot (feat. Polo G & Fivio Foreign);";";"Lil Tjay; Polo G; Fivio Foreign";";";4eNOLmx8r2IJAVKvBBL1jv
Move (feat. Saweetie);";";"Lil Tjay; Tyga; Saweetie";";";0DcjZHcCkc8DlRnZI0hagv
Love Hurts (feat. Toosii);";";"Lil Tjay; Toosii";";";2ULQtFHTzUK0DqcqWUlXxw
Run It Up (feat. Offset & Moneybagg Yo);";";"Lil Tjay; Offset; Moneybagg Yo";";";1dg3qy5DjoJodawfOCgrTP
Zoo York (feat. Fivio Foreign & Pop Smoke);";";"Lil Tjay; Fivio Foreign; Pop Smoke";";";3Ddny34bFoYBb8dIGq5lwp
Shoot for the Stars (feat. Fivio Foreign);";";"Lil Tjay; Fivio Foreign";";";1O7DB16MQdAQVrybpA7GNW
Wet Em Up Pt. 2;";";"Lil Tjay; Sheff G; Sleepy Hallow";";";0w1x05XBSRIuVmKd3D0IPd
City on My Back;";";"Lil Tjay; Jay Critch";";";0Junu3e7oARNdpIsOV5LNu
My City;";";"Lil Tjay; J.I the Prince of N.Y";";";6P044Uja1fjxwqXOTT2QO4
Gettin Lit;";";"Lil Tjay; Jay Gwuapo";";";1nXWAOME69dG7MtRuWZjjV
Post To Be (feat. Rileyy Lanez);";";"Lil Tjay; Rileyy Lanez";";";671qmOyhzkza64D9fMhN7k
Ruthless (feat. Jay Critch);";";"Lil Tjay; Jay Critch";";";395WRTyNwMGx80cDXqg6vM
Decline (feat. Lil Baby);";";"Lil Tjay; Lil Baby";";";4jkalyYVL46RGyWphOzphd
Brothers (feat. Lil Durk) - Remix;";";"Lil Tjay; Lil Durk";";";2wUwC1gBJIC05JH87v2hgN
Leaked (feat. Lil Wayne) - Remix;";";"Lil Tjay; Lil Wayne";";";7x9Am1UW3C5yCZLSysEWxX
I Should've Known (feat. Kyle Richh);";";"Lil Tjay; Kyle Richh";";";02WbmXcfVEPDOZH91K8OtL
Project Walls (feat. YoungBoy Never Broke Again);";";"Lil Tjay; YoungBoy Never Broke Again";";";0m9cSkuwYOCUWCf48IS5ds
Pain Talk (feat. Lil Tjay);";";"Sleepy Hallow; Lil Tjay";";";7soBkLenwWM7kB92cuyl04
Same Friends (with Lil Tjay);";";"charlieonnafriday; Lil Tjay";";";3fO79znP8PGK3E9lxv2rlo
High Price (with Lil Tjay);";";"Morray; Lil Tjay";";";2OvqbosjvY48JgqmySJ2l2
Do You Love Me? (feat. Lil Tjay);";";"Rich The Kid; Lil Tjay";";";50IvZsOmgJvxjpELTWFaMa
Eastside (with Lil Tjay) - Remix;";";"North Ave Jax; Lil Tjay";";";2dlMnyDEWEam9hp1xpfu5Z
Vroom - The FaNaTiX, Idris Elba, Lil Tjay, Davido, Koffee, Moelogo| PS5, PS4 - from GRAN TURISMO 7;";";"The FaNaTiX; Idris Elba; Lil Tjay; Davido; Koffee; Moelogo";";";6ApEaAL5iuN3cOwSoAbY1d
Elegance (feat. Lil Tjay);";";"Nafe Smallz; Lil Tjay";";";3oO2XyRdK811tVYax3qEAZ
Not In The Mood (feat. Fivio Foreign & Kay Flock);";";"Lil Tjay; Fivio Foreign; Kay Flock";";";25GyyK9CyZRiDCsPY51fIT
In Too Deep;";";"Rasandra; Lil Tjay";";";2JjmrkxlIHkl76tHHW3bVh
Dreams Unfold;";";"Joyner Lucas; Lil Tjay";";";5ChX0Yt1wPpRJFPPecJZPh
Best Friends 4L (feat. Lil Tjay);";";"YNW Melly; Lil Tjay";";";1Tfq54FMerlfH5gIi3UMyU
Calling My Phone;";";"Lil Tjay; 6LACK";";";08QAkBRyWLUQ3UniIyMFtP
Racin' (feat. Lil Tjay);";";"KJ Balla; Lil Tjay";";";6s4E8J1rtwsztOEPCLfSYr
Hood Scars 2 (with Lil Tjay);";";"J.I the Prince of N.Y; Lil Tjay";";";1yrhouFL3RSdUj9KfPDhoW
Fade Away;";";"The Kid LAROI; Lil Tjay";";";32ypPhtgTaETvFn3ZIHXTW
All Star (with Lil Tjay);";";"Lil Tecca; Lil Tjay";";";62uolmVjOio9xIfwDM1ZvC
Only The Team (with Lil Mosey & Lil Tjay);";";"Rvssian; Lil Mosey; Lil Tjay";";";6UHfW9PmGAUjIVeIkPzPQ2
First Place;";";"Polo G; Lil Tjay";";";5rSVQzJQ5nMUcFJDkJMfzL
VALENTINO (feat. Lil Tjay) - Remix;";";"24kGoldn; Lil Tjay";";";2okfdBLRlJaCR4uMJdvqsY
F.N (feat. DigDat) - UK Remix;";";"Lil Tjay; DigDat";";";5gx4VGu2hjGGBrV4bwegDq
Ruthless (feat. Jay Critch);";";"Lil Tjay; Jay Critch";";";14S2Y85NiZoU4AFGOn56uV
Lying (feat. Lil Tjay);";";"PRETTYMUCH; Lil Tjay";";";6x8V3kUNlhVbwRbVP0QeSS
Ruthless (feat. Jay Critch);";";"Lil Tjay; Jay Critch";";";6pbFJUa1z4wsd20WmTjHGn
