Nome da Música;Artistas;ID da Música
Dead Shot (with Lil Uzi Vert);";";"NAV; Lil Uzi Vert";";";0PjHA8ONcsmsZ1uuJocHvk
Never Sleep (with Lil Baby feat. Travis Scott);";";"NAV; Lil Baby; Travis Scott";";";6G7qNb02PbK0QdHSfWrXw9
One Time (with Don Toliver feat. Future);";";"NAV; Don Toliver; Future";";";5ANAi9lgrvQKWWOs1dmSx4
Playa (with Gunna);";";"NAV; Gunna";";";4AYQjGTjpUvkGzGirYyXUf
My Dawg (with Lil Durk);";";"NAV; Lil Durk";";";4Ec0PXsHiXpLIPdU4WqhXS
Interstellar (with Lil Uzi Vert);";";"NAV; Lil Uzi Vert";";";0jwuIEA5QStlJN4My9Bx6R
Lost Me (with RealestK);";";"NAV; RealestK";";";2e3rKzmueN7uwM8mImqHZA
Reset (with Bryson Tiller);";";"NAV; Bryson Tiller";";";5xBA0f23BjhVtgPxX94Hlc
Mismatch (with Baby Face Ray);";";"NAV; Baby Face Ray";";";6FRomZb5UzBc0t3zMnPK9D
Lemonade (with Gunna and Don Toliver feat. NAV);";";"Internet Money; Gunna; Don Toliver; NAV";";";0nnZMoKzOg9cLfF5SrRD2Z
Dead Shot (with Lil Uzi Vert);";";"NAV; Lil Uzi Vert";";";5CI4P97F6XAwK1kGnFYC0k
Never Sleep (with Lil Baby feat. Travis Scott);";";"NAV; Lil Baby; Travis Scott";";";5cx2X3RlGDk6g4DkPq4NYw
One Time (with Don Toliver feat. Future);";";"NAV; Don Toliver; Future";";";0WA4APfzK7Y1pdzhvyhSwD
Playa (with Gunna);";";"NAV; Gunna";";";4KH2xxnlvlE1koTS6OZSD8
My Dawg (with Lil Durk);";";"NAV; Lil Durk";";";7p9WoegkxkI0XdxdV3W9G9
Interstellar (with Lil Uzi Vert);";";"NAV; Lil Uzi Vert";";";5HRXn4V1qL4CFNizMsFrTy
Lost Me (with RealestK);";";"NAV; RealestK";";";0BAP6JdeHYjEu6rw7hTeTZ
Reset (with Bryson Tiller);";";"NAV; Bryson Tiller";";";4wTln8szV0f7JqLLTeDHwH
Mismatch (with Baby Face Ray);";";"NAV; Baby Face Ray";";";1XcAUtiE2uSsXTTsTMGq9O
Young Wheezy (with Gunna);";";"NAV; Gunna";";";3Xp7ctMGuyhU8riWFR6a36
Repercussions (with Young Thug);";";"NAV; Young Thug";";";6ecjl8XGmkzyZ1MXtZTaTa
Don't Need Friends (feat. Lil Baby);";";"NAV; Lil Baby";";";3sPxerxOAySc16CAA4pT2h
Trains (with Lil Keed);";";"NAV; Lil Keed";";";13ZXI282fpfTXo6fq2B7ZL
Do Ya Deed (feat. SahBabii);";";"NAV; SahBabii";";";7BtoQXPSBajXYhiXrgwbZE
Stella McCartney (feat. Future) - Bonus Track;";";"NAV; Future";";";5Vk6cqS63O1PU2P8ExSOjo
Young Wheezy (with Gunna);";";"NAV; Gunna";";";0bMyxvtbPa7HFemLjzw0xX
Repercussions (with Young Thug);";";"NAV; Young Thug";";";0YFwNNWeRQhOi6p17jTCzp
Don't Need Friends (feat. Lil Baby);";";"NAV; Lil Baby";";";4x3mum2YGHtIBrgUKiNt4F
Trains (with Lil Keed);";";"NAV; Lil Keed";";";0za3xlvxHtNHgn8XZd3ZjC
Do Ya Deed (feat. SahBabii);";";"NAV; SahBabii";";";5ZcpfDWv2zKafW0e7JZn02
Chirp (feat. Quavo);";";"NAV; Quavo";";";0RT6sfjay47URb9i7ETFK4
Free Santana (feat. Lil Duke);";";"NAV; Lil Duke";";";1Mwt2DaHmyIHIESfHOJMWu
No Debate (feat. Young Thug);";";"NAV; Young Thug";";";1oyHf2Z8I7wxOOBNkI9aQG
My Business (feat. Future);";";"NAV; Future";";";50DtPsK4axb0F3ZjeMSIS6
Turks (with Gunna & ft. Travis Scott);";";"NAV; Gunna; Travis Scott";";";0P4SiTpHMr5thEKGtsGWqi
Status (feat. Lil Uzi Vert);";";"NAV; Lil Uzi Vert";";";3i9kWYmrQNEC69zjhCUWs1
Codeine (feat. Gunna);";";"NAV; Gunna";";";5gDWewYDUyOBivi1Dv9uSh
Run It Up (feat. Pop Smoke);";";"NAV; Pop Smoke";";";638LeZQzM5PUwruHZGbk8r
Spend It (feat. Young Thug);";";"NAV; Young Thug";";";24IUnzR2D5TqEGCvecCDZ9
Recap (feat. Don Toliver);";";"NAV; Don Toliver";";";03c2CdleygCCP3qPNKoGFV
No Ice (feat. Lil Durk);";";"NAV; Lil Durk";";";6dezeIKyedN1gf3RFOjbhK
No Debate (feat. Young Thug);";";"NAV; Young Thug";";";29eSqQBrdva2tPLYMneFzP
My Business (feat. Future);";";"NAV; Future";";";2AEtYwT9qg2eY6G9m8wOxW
