Nome da Música;Artistas;ID da Música
Vapor;";";"Wisin & Yandel; Rauw Alejandro";";";7it0u6IGJQLRX9Q9q7vgOj
Party y Alcohol;";";"Wisin & Yandel; Chencho Corleone";";";0XNrtJ5Yg7aOJ0UZwJvNy7
Culpables los Dos;";";"Wisin & Yandel; Ozuna";";";0gZgNv02mYhxuC3SzBLgb2
Besos Moja2;";";"Wisin & Yandel; ROSALÍA";";";6OzUIp8KjuwxJnCWkXp1uL
La Realidad;";";"Wisin & Yandel; J Balvin";";";7HLDIDkGPEomHWZnpkKWow
Un Ladrón;";";"Wisin & Yandel; Prince Royce";";";3bG4mM5G4siWsalFk6CzFY
Te Fuiste;";";"Wisin & Yandel; Jay Wheeler";";";4G1zPmoQZzXhv9k4TJDRTO
Miami;";";"Wisin & Yandel; Jennifer Lopez";";";2wRlMMLTfPao0vHpAJPtlY
No Sales de Mi Cabeza (feat. Sean Paul);";";"Wisin & Yandel; Sean Paul";";";1hhEcsHRzbrk12m2EberMi
Llueve;";";"Wisin & Yandel; Sech; Jhayco";";";3NoIajMHFKu4djsapgVywe
Ganas de Ti;";";"Wisin & Yandel; Sech";";";4GJI5cuIGqVbnLKJm1q0XM
Callao;";";"Wisin & Yandel; Ozuna";";";3gu0fRSgFuc4FmrtIv0DnC
Aullando;";";"Wisin & Yandel; Romeo Santos";";";7BuHdm4lQqcyG3qTwdkxus
Dame Algo;";";"Wisin & Yandel; Bad Bunny";";";4ByaTrfoYbXrmlbsTG8MTD
La Luz;";";"Wisin & Yandel; Maluma";";";53Zjas25qARnEB1mCtlsQH
Mi Intención;";";"Wisin & Yandel; Miky Woodz";";";78HiHN13h6knr2nSyRVZwe
Deseo;";";"Wisin & Yandel; Zion & Lennox";";";48HDsxWfp1GXdpA8iyycP0
Ojalá;";";"Wisin & Yandel; Farruko";";";72kMzFs3DToSPeunmtx9Fs
Noche De Sexo;";";"Wisin & Yandel; Romeo Santos";";";2DSU6SakayCMfkOCO9pqtD
La Mujer Que Deseo;";";"Wisin & Yandel; RKO";";";1CYCMGSBuzW5XBu1dRvJs9
Calle;";";"Wisin & Yandel; RKO";";";1GjF6c1onv8AsrI4TlvhwZ
Sola;";";"Wisin & Yandel; RKO";";";21NVlDWv8cr0bE8l9UnfIz
La Gente Comenta;";";"Wisin & Yandel; RKO";";";4P2p81ha2CywKALMNzn5aG
Dime por Qué;";";"Wisin & Yandel; RKO";";";0aw3wlOTcpgrpbju0hvIm1
Mujer Equivocada;";";"Wisin & Yandel; RKO";";";2emC5JLE6ALnIcSRRHUNfP
Mírala Como Relincha;";";"Wisin & Yandel; RKO";";";4QqyP3c2rUX0Sf6NnzzTuQ
Algo Pasó Entre Tu y Yo;";";"Wisin & Yandel; RKO";";";0EZlQkpHLAfOAX1nA1eXnp
Se Activaron;";";"Wisin & Yandel; RKO";";";7spkNn7FhdY7Sutbz1B6RD
Como en los Tiempos de Antes W&Y;";";"Wisin & Yandel; RKO";";";2yrybOjLl8FYZrMKIB2N9z
Todas Quieren Ser las Mas Bellas;";";"Wisin & Yandel; Baby Rasta & Gringo";";";4YIQ5znwHwbeN6BGpN10YI
Voy por Ti;";";"Wisin & Yandel; Tempo";";";1jIMQ9WtS2FArbGr18EToo
Salgo Filoteau;";";"Wisin & Yandel; Divino & Baby Ranks";";";5UKQ7sdeVTHBrXA7N4Ks6x
Piden Perreo;";";"Wisin & Yandel; Alexis y Fido";";";0PaMlxDmjtZqlFHkllz0ME
Abusadora;";";"Wisin & Yandel; Fido";";";6oBKEO0cp9dHigcpnMXUnU
Seduceme;";";"Wisin & Yandel; Alexis";";";1DfrUgwpsUQzVa0OAUEjAm
Mala Tu Suerte;";";"Wisin & Yandel; Hector & Tito";";";4cQd0u7EZcYAeuJyR8Fi5K
La Calle Me Lo Pidio;";";"Yandel; Tego Calderón";";";1hTXDYeS5UEXq2T4CSmWgR
Mami Yo Quisiera Quedarme;";";"Yandel; Alexis";";";4EnWXO7o1ZLF47VcLNlZ3Q
