Nome da Música;Artistas;ID da Música
In The Morning - Live in 2012 at the Maui Arts & Cultural Center;";";"Jack Johnson; Paula Fuga; John Cruz";";";3jZWwxjJEPJQWp8hIRtiKs
Little Bit of Love - Live in 2012 at the Maui Arts & Cultural Center;";";"Jack Johnson; Paula Fuga; John Cruz";";";6AiOI8vLDxHPQynJpdfbWo
Country Road - Live in 2012 at the Maui Arts & Cultural Center;";";"Jack Johnson; Paula Fuga; John Cruz";";";6j2d36jW7zQwlvZS5Njhvs
Breakdown - Live in 2012 at the Maui Arts & Cultural Center;";";"Jack Johnson; Paula Fuga; John Cruz";";";0tr2DtEMtLae9rXfGJ01Ne
Constellations - Live in 2012 at the Maui Arts & Cultural Center;";";"Jack Johnson; Paula Fuga; John Cruz";";";08IMadn1KjLWCf3uIQiyM6
Turn Your Love - Live in 2012 at the Maui Arts & Cultural Center;";";"Jack Johnson; Paula Fuga; John Cruz";";";3wg8qsM6ghhqvWjzvH9otX
Give Voice - Live in 2012 at the Maui Arts & Cultural Center;";";"Jack Johnson; Paula Fuga; John Cruz";";";7zxw68qjD1lWP0FYdrQZ93
Island Style - Live in 2012 at the Maui Arts & Cultural Center;";";"Jack Johnson; Paula Fuga; John Cruz";";";1axQA1p09ShbjyiWNkgW36
Banana Pancakes - Live in 2012 at the Maui Arts & Cultural Center;";";"Jack Johnson; Paula Fuga; John Cruz";";";4OGisz4i7WCM1gy3UBV7xl
Mudfootball - Live in 2012 at the Maui Arts & Cultural Center;";";"Jack Johnson; Paula Fuga; John Cruz";";";6nVyLCeyEmvOx0FKcYYTxR
Traffic In The Sky - Lee “Scratch” Perry Dub;";";"Jack Johnson; Lee ""Scratch"" Perry";";";2HgigT5faimpiN2YbWiHO8
Wasting Time - Subatomic Sound System Dub;";";"Jack Johnson; Subatomic Sound System; Lee ""Scratch"" Perry";";";682ruMEXAKMBGaYciJ0Q0n
No Other Way - Dennis Bovell dUb Remix;";";"Jack Johnson; Dennis Bovell";";";0MGc6U08iqVY1IcsOGPz6B
Times Like These - Lee “Scratch” Perry x Subatomic Sound System Dub;";";"Jack Johnson; Lee ""Scratch"" Perry; Subatomic Sound System";";";3pC8tmz3WHMdXSmU7M5ajj
Calm Down - Dennis Bovell dUb Remix;";";"Jack Johnson; Dennis Bovell";";";0ShkKt7hMtb7VMxfHUf4Dx
Better Together - Nightmares On Wax Mix;";";"Jack Johnson; Nightmares On Wax";";";0U3fF0Z1LtkJ58nyMqsMrK
One Step Ahead - Scientist Dub;";";"Jack Johnson; Scientist";";";2Nb16EUzcrKUG8GFyaEAO5
Breakdown - Nightmares On Wax Mix;";";"Jack Johnson; Nightmares On Wax";";";64M2599Ez8HJdphs5UnKI2
Turn Your Love - Mad Professor Dub;";";"Jack Johnson; Mad Professor";";";06Cx1LGGUYqylK6XOTiAQC
You Can't Control It - Yaadcore Dub;";";"Jack Johnson; Yaadcore";";";01vVjzc4xjd2yPQohlFobu
It's All Understood - Monk Dub;";";"Jack Johnson; JP Plunier";";";68NTS1tV6LshYx9UYUjYON
Change - Commentary Version;";";"Jack Johnson; Ben Harper";";";5btO7WEXACmI9gM8cyPPgX
Country Road - Live In Santa Barbara, California/2008;";";"Jack Johnson; Paula Fuga";";";35TKxUnX5aDSiCPv5WZUkD
Constellations - Live At Bonnaroo, Manchester, Tennessee/2008;";";"Jack Johnson; Eddie Vedder";";";34jDsuaEgTgaRbTaAMd1Wn
Talk Of The Town;";";"Jack Johnson; Kawika Kahiapo";";";53Ox4CGjonUTKT2xmJ9AnA
Jungle Gym;";";"Jack Johnson; G. Love & Special Sauce";";";5stzGDPvPJsHFRlloNf44l
Lullaby;";";"Jack Johnson; Matt Costa";";";1cCG2HzyBrGYc9zqt0Te6N
My Own Two Hands;";";"Jack Johnson; Ben Harper";";";1SAFo23jFylY2WAZjxXJmA
Upside Down - Remix;";";"Jack Johnson; Money Mark";";";6wNYw9p55LqYXLVKnp8lEm
Talk Of The Town;";";"Jack Johnson; Kawika Kahiapo";";";2rbbEHGO0YT6wXAO6V30sj
Jungle Gym;";";"Jack Johnson; G. Love & Special Sauce";";";2TQQiHYy75bGfxfGxcmb1U
Lullaby;";";"Jack Johnson; Matt Costa";";";3koMMMP2Ra6KVPru8XMsXQ
My Own Two Hands;";";"Jack Johnson; Ben Harper";";";072YQfEAJbzIQ4chPW0kBR
Calm Down - Dennis Bovell dUb Remix;";";"Jack Johnson; Dennis Bovell";";";52ezVtAfJrweiskh4kYqWv
Yard Sale;";";"Ben Harper; Jack Johnson";";";4sH3OxT6GqGsihPcO3wmhw
Better Together - Nightmares On Wax Mix;";";"Jack Johnson; Nightmares On Wax";";";0hnCUwECgCzVkuEWBtf4GK
Traffic In The Sky - Lee “Scratch” Perry Dub;";";"Jack Johnson; Lee ""Scratch"" Perry";";";2WKV1J1ny7g0papXOVRBLR
Traffic In The Sky - Subatomic Sound System Dub;";";"Jack Johnson; Lee ""Scratch"" Perry; Subatomic Sound System";";";1cWiJtjHFvVDzqScg1kL8n
Sunsets For Somebody Else (feat. Rogê) - Brasil Version;";";"Jack Johnson; Rogê";";";1q4JXsjK3jgljGn3ZGtiQ1
Big Sur (feat. Rogê) - Brasil Version;";";"Jack Johnson; Rogê";";";5bgE7ijS2Hm6A1FeGgKBYB
If Ever (with Jack Johnson & Ben Harper);";";"Paula Fuga; Jack Johnson; Ben Harper";";";5CeXAfGpk9baITQvV0feoG
Don't Let Me Down - Poolside Remix;";";"Milky Chance; Jack Johnson; Poolside";";";0cchE5QJa9teCVqe4N9VuZ
Don't Let Me Down;";";"Milky Chance; Jack Johnson";";";34VD6GZycwcLUMXwpIur9M
Hope - NIghtmares On Wax Remix;";";"Jack Johnson; E.A.S.E.";";";19sPNYZd0ilVShyko8v3WX
Losing Keys - Katalyst Remix;";";"Jack Johnson; Ashley Anderson";";";5lRe3dmBB0YbrjjGcDAYTv
Monsoon - Money Mark Casio Remix;";";"Jack Johnson; Money Mark";";";6XjYaiImNJRhsrFuhMBFQ5
Angel - Kid Koala Remix;";";"Jack Johnson; Kid Koala";";";5kHqe09cqsBystD29GGJWX
They Do, They Don't - DJ Tropikal Remix;";";"Jack Johnson; DJ Tropikal";";";5Rw2i0Tqlr4HJ3ucJmZkDS
Hope - Mario C. Remix;";";"Jack Johnson; Mario C. +3";";";5SQ7pebIWvEiPBonqutzb8
Hope - NIghtmares On Wax Remix;";";"Jack Johnson; E.A.S.E.";";";4gZwgUWJfHG2wHDgUDppUf
Let It Be Sung;";";"Jack Johnson; Matt Costa; Zach Gill";";";76H17e6fbV7sl7eTX1z2O6
Lullaby - Live;";";"Jack Johnson; Matt Costa";";";0lPWy1GoKhoKQuErHIBGpe
Girl, I Wanna Lay You Down;";";"ALO; Jack Johnson";";";2Gepj3uefeOYAZ2d59T8ad
Talk Of The Town;";";"Jack Johnson; Kawika Kahiapo";";";1gJ54y4ulKQyfapSiaQNsf
Fall Line - Live feat. Matt Costa;";";"Jack Johnson; Matt Costa";";";2nY1LtWsd1jieORl8hXZP5
Let It Be Sung - Radio Edit;";";"Jack Johnson; Matt Costa; Zach Gill; Dan Lebowitz; Steve Adams";";";6SpBqPizA1fqLm7MgxLu6D
Constellations - Acoustic Version;";";"Jack Johnson; Kaukahi";";";6hbiDyL8RaO2XcUruMYzJI
Girl, I Wanna Lay You Down;";";"ALO; Jack Johnson";";";00uA79TlonSFqtXX9cetww
Girl I Wanna Lay You Down - Live At Brushfire Tour, Boston, MA / 9/15/04;";";"Jack Johnson; Zach Gill";";";03UNSpPDYsH64IpNgUzDti
