Nome da Música;Artistas;ID da Música
Royal Flush (feat. Young Thug);";";"Rae Sremmurd; Young Thug";";";6iN3ICXAJjrNuSAlWMzwz7
Activate (feat. Future);";";"Rae Sremmurd; Future";";";5PRdakfAVoACShGYP4zOsj
Up In My Cocina - From SR3MM;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi";";";4669wTPqp7Xwz2H7v4QKi1
CLOSE (feat. Travis Scott) - From SR3MM;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi; Travis Scott";";";1oUudyBYVGMIC8JXeIsFzq
Bedtime Stories (feat. The Weeknd) - From SR3MM;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi; The Weeknd";";";6nI74KsH94IN0J2vp5shdT
Perplexing Pegasus - From SR3MM;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi";";";1ung2kajpw24AaHjBtPY3j
Buckets (feat. Future) - From SR3MM;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi; Future";";";2TtWdYXulGcHCeUJUWwZ4M
"""42"" - From SR3MM";";";"Rae Sremmurd; Swae Lee; Slim Jxmmi";";";5lf91lPnGKtIqsgmG1z8Ip
Powerglide (feat. Juicy J) - From SR3MM;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi; Juicy J";";";1BuZAIO8WZpavWVbbq3Lci
Rock N Roll Hall Of Fame - From SR3MM;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi";";";54inhxqvwEzNHd8KdjXKBm
T'd Up - From SR3MM;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi";";";7bddNsGZem9W4j4rzZBIXj
Touchscreen Navigation - From Swaecation;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi";";";20NeQXq8WWCG89ul5nH4BP
Heartbreak In Encino Hills - From Swaecation;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi";";";5EPvaeFspQrXoL7Xlz1SmL
Heat Of The Moment - From Swaecation;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi";";";50FjIvCsiIPIfeFyXdh2hx
Offshore (feat. Young Thug) - From Swaecation;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi; Young Thug";";";5J6D8QvlGZw9g5x38fAnjE
Guatemala - From Swaecation;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi";";";0TCnOEVeLQMXOUrpPlM7uY
Lost Angels - From Swaecation;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi";";";3DrRtOEaOMZtPYnPCkUSIV
Hurt To Look - From Swaecation;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi";";";58nmnN7nqT3D9LRl7BrLXH
Red Wine - From Swaecation;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi";";";6exiH6TH874dCP0AelFi1U
What's In Your Heart? - From Swaecation;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi";";";5rSBAP84pjS8sKuzghnsRR
Brxnks Truck - From Jxmtro;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi";";";4Eg6Y5tciACpwMI5s8EqdY
Players Club - From Jxmtro;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi";";";5NhuU6acKHoJ77QbbCkQEy
Anti-Social Smokers Club (feat. Zoë Kravitz) - From Jxmtro;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi; Zoë Kravitz";";";4PZl0QLHeqYouwy0iASyNF
Chanel (feat. Swae Lee & Pharrell) - From Jxmtro;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi; Pharrell Williams";";";2W6JHG3KGGPv82Bi2hAnSz
Cap (feat. Trouble) - From Jxmtro;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi; Trouble";";";00Y9yFHumsN6Cg4cK3wXkM
Changed Up - From Jxmtro;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi";";";3c9InZHP0GFFhvB2QR0uzc
Keep God First - From Jxmtro;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi";";";3jZP4hvNY4ZTPOgmdw9l8p
Juggling Biddies (feat. Riff 3x) - From Jxmtro;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi; Riff 3x";";";40ZQBmv6mvSM9y8SSVV4kS
Growed Up - From Jxmtro;";";"Rae Sremmurd; Swae Lee; Slim Jxmmi";";";3d9XTk4jxEejqOU8MsLyiM
Real Chill;";";"Rae Sremmurd; Kodak Black";";";1pF3VcWYHeuVPflRwGBaWV
Black Beatles;";";"Rae Sremmurd; Gucci Mane";";";6fujklziTHa8uoM5OQSfIo
Shake It Fast;";";"Rae Sremmurd; Juicy J";";";10UJwHwGSXnljKk4Nw3qrf
