Nome da Música;Artistas;ID da Música
Memories;";";"dvsn; Ty Dolla $ign";";";1ENMwElCCao8ejBvXCjWN1
Don't Say A Word;";";"dvsn; Ty Dolla $ign";";";3LHWXFE4mKwcjjjf1GbY99
Can You Take It (Interlude);";";"dvsn; Ty Dolla $ign";";";411qflX72pcTKQSJOHopQS
Outside;";";"dvsn; Ty Dolla $ign";";";4Pws0SwDkUkQMgwhg1uEDe
Can't Tell (feat. YG);";";"dvsn; Ty Dolla $ign; YG";";";7JRUWpEZjMxFU49frEzqOl
Somebody That You Don't Know (feat. Rauw Alejandro);";";"dvsn; Ty Dolla $ign; Rauw Alejandro";";";0lljBJMLGcTLm5Zn4KxQBH
Fight Club;";";"dvsn; Ty Dolla $ign";";";11VkGCtNEIFEFBTptFJzEA
Rude (Ty Dolla $ign Interlude);";";"dvsn; Ty Dolla $ign";";";4z4WuGUCY0nMyeFL9Kwa5p
Better Yet (dvsn Interlude);";";"dvsn; Ty Dolla $ign";";";6u9NdgNNpp87JbxWOnCm5G
Wedding Cake;";";"dvsn; Ty Dolla $ign";";";3WYO30U2xhZaIpGiLiAfVf
I Believed It (feat. Mac Miller);";";"dvsn; Ty Dolla $ign; Mac Miller";";";2S443LbscYVkdv9LDUJlBn
Temptations (feat. Kid Cudi);";";"Ty Dolla $ign; Kid Cudi";";";0SKbj3NTkGFS76OkFmAw0u
Spicy (feat. Post Malone);";";"Ty Dolla $ign; Post Malone";";";5IUtvfNvOyVYZUa6AJFrnP
Track 6 (feat. Kanye West, Anderson .Paak & Thundercat);";";"Ty Dolla $ign; Anderson .Paak; Kanye West; Thundercat";";";4XPzNUDXrSRjpFbd8CcQVu
Freak (feat. Quavo);";";"Ty Dolla $ign; Quavo";";";4bMQRUKsiELewtb3tzdFQn
Double R (feat. Lil Durk);";";"Ty Dolla $ign; Lil Durk";";";13SM5WuEXuj5isI5j4lEE5
Expensive (feat. Nicki Minaj);";";"Ty Dolla $ign; Nicki Minaj";";";2Kv3JWOzRJsaen5vjmTVJL
Tyrone 2021 (feat. Big Sean);";";"Ty Dolla $ign; Big Sean";";";0dDI9Y0qEQspYedfdi1vau
Real Life (feat. Roddy Ricch & Mustard);";";"Ty Dolla $ign; Mustard; Roddy Ricch";";";5s14v7sHVghrPTS2CLgzI1
By Yourself (feat. Jhené Aiko & Mustard);";";"Ty Dolla $ign; Jhené Aiko; Mustard";";";1psvnQxSDdIKTDM2Jm8QKt
Universe (feat. Kehlani);";";"Ty Dolla $ign; Kehlani";";";5waFNguEkggHt2R05RxNBp
Lift Me Up (feat. Future & Young Thug);";";"Ty Dolla $ign; Future; Young Thug";";";0PPcv1x7uCQAe3oF2j66io
Powder Blue (feat. Gunna);";";"Ty Dolla $ign; Gunna";";";6rSMzTFlWhwMRATElojc2z
Your Turn (feat. Musiq Soulchild, Tish Hyman & 6LACK);";";"Ty Dolla $ign; 6LACK; Musiq Soulchild; Tish Hyman";";";29zlMCUoFqwWMMTFwY7rTI
Ego Death (feat. Kanye West, FKA twigs & Skrillex);";";"Ty Dolla $ign; FKA twigs; Skrillex; Kanye West";";";1mtLPUyH34kolgEy1VOBc0
The Light;";";"Jeremih; Ty Dolla $ign";";";0YIfZYYfVytcD1q0Mx57Ey
Goin Thru Some Thangz;";";"Jeremih; Ty Dolla $ign";";";38tUgBtXwJxMlod5Aq8O5D
FYT (feat. French Montana);";";"Jeremih; Ty Dolla $ign; French Montana";";";0ZwHNhwxDhUYHYkSkHxMf0
Perfect Timing;";";"Jeremih; Ty Dolla $ign";";";3CSv4rNuCPcqSA3UhB1it1
New Level;";";"Jeremih; Ty Dolla $ign";";";6HFH4fh0qJsJRnOc0xIWwM
Take Your Time;";";"Jeremih; Ty Dolla $ign";";";31UPzWYdHxYPxYFEqB9vmK
These Days;";";"Jeremih; Ty Dolla $ign";";";79gqfa8TgRc6F3z5QrEiN8
Surrounded (feat. Chris Brown & Wiz Khalifa);";";"Jeremih; Ty Dolla $ign; Chris Brown; Wiz Khalifa";";";1xhXtjqbFiNgLfqHMGo9lW
Lie 2 Me;";";"Jeremih; Ty Dolla $ign";";";4bK5YVykN1IkXMDzVyeRKR
Ride It;";";"Jeremih; Ty Dolla $ign";";";5rWia6d9DtaErAjnDLgZn8
Imitate;";";"Jeremih; Ty Dolla $ign";";";3bTSIHFVorXxkPKykuABt6
Love U Better (feat. Lil Wayne & The-Dream);";";"Ty Dolla $ign; Lil Wayne; The-Dream";";";13kIiNgXiBHbbG9gWitSqO
Ex (feat. YG);";";"Ty Dolla $ign; YG";";";5PpN5gFDoEO8bCw8P8yKhK
Droptop in the Rain (feat. Tory Lanez);";";"Ty Dolla $ign; Tory Lanez";";";2sU3HteGBtrkfxXgzNHpO8
Don't Judge Me (feat. Future & Swae Lee);";";"Ty Dolla $ign; Future; Swae Lee";";";1PecUaxWSzBeZoNM5zY75u
Dawsin's Breek (feat. Jeremih);";";"Ty Dolla $ign; Jeremih";";";3DHFVz6SHsTlLIpRPxhHxn
Don't Sleep on Me (feat. Future & 24hrs);";";"Ty Dolla $ign; Future; 24hrs";";";1mRiKd83wPVAEhgVltvPZV
Stare (feat. Pharrell Williams & Wiz Khalifa);";";"Ty Dolla $ign; Pharrell Williams; Wiz Khalifa";";";1mImxiunzhA7aNTlQNAXqd
So Am I (feat. Damian Marley & Skrillex);";";"Ty Dolla $ign; Damian Marley; Skrillex";";";1VJXeVuiJQc12bcZYDd8gT
Lil Favorite (feat. MadeinTYO);";";"Ty Dolla $ign; MadeinTYO";";";2Zt2ebUTOtwAw4Su11kWqK
In Your Phone (with Lauren Jauregui);";";"Ty Dolla $ign; Lauren Jauregui";";";1m3tpad0StyCxZRHYsqZ33
Pineapple (feat. Gucci Mane & Quavo);";";"Ty Dolla $ign; Gucci Mane; Quavo";";";2R7Gn3cjnPaVO0Oj8nsTDP
Clout (feat. 21 Savage);";";"Ty Dolla $ign; 21 Savage";";";1u0CD4fcBUB1xrG9fNgejh
Drugs (feat. Wiz Khalifa);";";"Ty Dolla $ign; Wiz Khalifa";";";1a66Fi0cTnE8c8lDjeNMDy
South Beach (feat. Quavo & French Montana);";";"Ty Dolla $ign; French Montana; Quavo";";";6mvXHfwY5pmeV5ipcGGpcQ
Simple (feat. Yo Gotti);";";"Ty Dolla $ign; Yo Gotti";";";10NjuuFWru1Y02Dk5FE4z4
Love U Better (feat. Lil Wayne & The-Dream);";";"Ty Dolla $ign; Nathaniel Alford; Twice As Nice; Lil Wayne; The-Dream";";";270aLuFCbX32hhBr8MQyPM
Ex (feat. YG);";";"Ty Dolla $ign; YG";";";1Mb187X5w3OUQNH6P5M28Y
Droptop in the Rain (feat. Tory Lanez);";";"Ty Dolla $ign; Tory Lanez";";";2ZN1EnypRwsD38EoFRwmu9
Don't Judge Me (feat. Future & Swae Lee);";";"Ty Dolla $ign; Future; Swae Lee";";";2EPbvVyo2qrrmeiEm57Cfl
Dawsin's Breek (feat. Jeremih);";";"Ty Dolla $ign; Jeremih";";";3z9xNouuYUaVLizmZdVkpR
Don't Sleep on Me (feat. Future & 24hrs);";";"Ty Dolla $ign; Future; 24hrs";";";2c5D6B8oXAwc6easamdgVA
Stare (feat. Pharrell Williams & Wiz Khalifa);";";"Ty Dolla $ign; Pharrell Williams; Wiz Khalifa";";";41HF1rru9LtZCXTOBGFlk4
So Am I (feat. Damian Marley & Skrillex);";";"Ty Dolla $ign; Damian Marley; Skrillex";";";7cQnIhLin7koR2sO2bt2KS
Lil Favorite (feat. MadeinTYO);";";"Ty Dolla $ign; MadeinTYO";";";5fyvUqw0Vu6qTM4DSkDUs2
In Your Phone (with Lauren Jauregui);";";"Ty Dolla $ign; Lauren Jauregui";";";5DrACadFfJMMQCCS02Px0a
Campaign (feat. Future);";";"Ty Dolla $ign; Future";";";6JvHYmanlC8FdbeiCztcrR
??? (Where) [feat. Migos];";";"Ty Dolla $ign; Migos";";";11byn9E2NCI65biHtKOLG2
3 Wayz (feat. Travis Scott);";";"Ty Dolla $ign; Travis Scott";";";3BN86m6Dl6hYgOj2qo1gAg
My Song (feat. 24hrs);";";"Ty Dolla $ign; 24hrs";";";3HgncvsGbBNZqzdRzF0qVy
Pu$$y (feat. Trey Songz & Wiz Khalifa);";";"Ty Dolla $ign; Trey Songz; Wiz Khalifa";";";0Tqu15cSZxKONO0QIJk1e6
No Justice (feat. Big TC);";";"Ty Dolla $ign; Big TC";";";3V2FS2divZQ4fh54jxa5BP
Watching (feat. Meek Mill);";";"Ty Dolla $ign; Meek Mill";";";4p5KOJck1PZQKk3hcp0s9n
Campaign (feat. Future) - Charlie Heat Remix;";";"Ty Dolla $ign; Future; Charlie Heat";";";1yIpVqk62XxBBz34AWWZQK
LA (feat. Kendrick Lamar, Brandy & James Fauntleroy);";";"Ty Dolla $ign; Brandy; James Fauntleroy; Kendrick Lamar";";";3kZdviLaxXKaBItDoY36AU
Saved (feat. E-40);";";"Ty Dolla $ign; E-40";";";6K5M33kV2H3gOTZhrDQ77w
Straight Up (feat. Jagged Edge);";";"Ty Dolla $ign; Jagged Edge";";";7rwzQhSu8wCdwqj1pp4Aa5
Solid (feat. Babyface);";";"Ty Dolla $ign; Babyface";";";7pOTLzJOimi9fjT3380O8u
Know Ya (feat. Trey Songz);";";"Ty Dolla $ign; Trey Songz";";";3FWugJGY9hrX2QfTf9TvB8
Credit (feat. Sevyn Streeter);";";"Ty Dolla $ign; Sevyn Streeter";";";5o0Ck2WaMbNimC1ow0TN4F
Miracle / Wherever (feat. Big TC & D-Loc);";";"Ty Dolla $ign; Big TC; D-Loc";";";3ti7JgvDPcWnwzCeoZtztV
Guard Down (feat. Kanye West & Diddy);";";"Ty Dolla $ign; Diddy; Kanye West";";";5X9NwJ1n4nktZfUIyGMcHf
Sitting Pretty (feat. Wiz Khalifa);";";"Ty Dolla $ign; Wiz Khalifa";";";5D6ZqSw9ewMMhHhPjViQJm
When I See Ya (feat. Fetty Wap);";";"Ty Dolla $ign; Fetty Wap";";";3k0nfH2WgoA3158G7HJ8If
Blasé (feat. Future & Rae Sremmurd);";";"Ty Dolla $ign; Future; Rae Sremmurd";";";4rNSn4YUlLNdt4htUKtl55
Only Right (feat. YG, Joe Moses & TeeCee4800);";";"Ty Dolla $ign; YG; Joe Moses; TeeCee4800";";";664RPVfPg2toZiRLaWM4MX
Finale (feat. SA-RA & PJ);";";"Ty Dolla $ign; PJ; Sa-Ra";";";6xV4aFulPu8nQKJh22DQzN
